Timestamp,Pupil_Size_Right,Pupil_Size_Left,UTC_Time
398.1045837402344,2.887444019317627,nan,2023-01-26T19:23:30.775901
398.1126403808594,2.9209108352661133,nan,2023-01-26T19:23:30.787907
398.1206359863281,2.936676025390625,nan,2023-01-26T19:23:30.791867
398.1285705566406,2.9304604530334473,nan,2023-01-26T19:23:30.807816
398.1365661621094,2.9284188747406006,nan,2023-01-26T19:23:30.808813
398.14459228515625,2.9433391094207764,nan,2023-01-26T19:23:30.816797
398.152587890625,2.9351634979248047,nan,2023-01-26T19:23:30.824811
398.16058349609375,2.9653899669647217,nan,2023-01-26T19:23:30.834743
398.1685791015625,2.9706814289093018,nan,2023-01-26T19:23:30.839730
398.17657470703125,2.988100290298462,nan,2023-01-26T19:23:30.847709
398.1845703125,2.9913101196289062,nan,2023-01-26T19:23:30.855688
398.1926574707031,2.959953784942627,nan,2023-01-26T19:23:30.864668
398.20062255859375,2.9532837867736816,nan,2023-01-26T19:23:30.871681
398.2085876464844,2.9687018394470215,nan,2023-01-26T19:23:30.879665
398.2165832519531,3.0077247619628906,nan,2023-01-26T19:23:30.887602
398.224609375,3.003596305847168,nan,2023-01-26T19:23:30.899571
398.2325744628906,2.958125352859497,nan,2023-01-26T19:23:30.903561
398.2406311035156,2.9432601928710938,nan,2023-01-26T19:23:30.911797
398.24859619140625,2.9643759727478027,nan,2023-01-26T19:23:30.919554
398.2566223144531,2.9842288494110107,nan,2023-01-26T19:23:30.930487
398.26458740234375,3.0235788822174072,nan,2023-01-26T19:23:30.935476
398.2726745605469,3.0345351696014404,nan,2023-01-26T19:23:30.944453
398.2806091308594,2.994907855987549,nan,2023-01-26T19:23:30.952435
398.28875732421875,2.9676663875579834,nan,2023-01-26T19:23:30.964398
398.29656982421875,2.964526414871216,nan,2023-01-26T19:23:30.968390
398.3045959472656,3.0118701457977295,nan,2023-01-26T19:23:30.976367
398.3126220703125,3.050424098968506,nan,2023-01-26T19:23:30.984343
398.32061767578125,3.0762128829956055,nan,2023-01-26T19:23:30.994318
398.3286437988281,3.0432350635528564,nan,2023-01-26T19:23:30.999304
398.3367004394531,3.013688564300537,nan,2023-01-26T19:23:31.007369
398.3446044921875,3.0068094730377197,nan,2023-01-26T19:23:31.017348
398.35260009765625,3.0075411796569824,nan,2023-01-26T19:23:31.028316
398.360595703125,3.017193555831909,nan,2023-01-26T19:23:31.031311
