Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
1,265.954071045,-228.037475586,185.036087036,358.581756592,-303.803009033,274.682037354,
2,265.957916260,-228.040130615,185.022277832,358.587066650,-303.803802490,274.677307129,
3,265.954742432,-228.040161133,185.011688232,358.588287354,-303.801757813,274.666595459,
4,265.940765381,-228.042480469,184.998611450,358.580230713,-303.800842285,274.654876709,
5,265.950317383,-228.046936035,184.987640381,358.560455322,-303.801422119,274.641448975,
6,265.949920654,-228.049972534,184.969314575,358.552185059,-303.800628662,274.632019043,
7,265.935729980,-228.051467896,184.955047607,358.555084229,-303.802307129,274.620056152,
8,265.950256348,-228.056457520,184.932312012,358.549926758,-303.806762695,274.603759766,
9,265.943695068,-228.063491821,184.903549194,358.563385010,-303.813323975,274.587310791,
10,265.951293945,-228.073623657,184.876632690,358.557952881,-303.812896729,274.573883057,
11,265.978118896,-228.085678101,184.838394165,358.558074951,-303.816711426,274.557006836,
12,265.995574951,-228.094909668,184.809204102,358.567138672,-303.822357178,274.537719727,
13,265.979309082,-228.106323242,184.777908325,358.555297852,-303.825988770,274.520660400,
14,265.983154297,-228.120605469,184.736724854,358.561706543,-303.832031250,274.501525879,
15,265.997558594,-228.134277344,184.702377319,358.544830322,-303.832305908,274.482147217,
16,266.009368896,-228.147277832,184.667144775,358.546142578,-303.834442139,274.465423584,
17,266.018188477,-228.160491943,184.637680054,358.556335449,-303.840637207,274.441986084,
18,266.012878418,-228.177734375,184.600143433,358.541534424,-303.848297119,274.420135498,
19,266.013458252,-228.197662354,184.568466187,358.546325684,-303.852203369,274.400054932,
20,266.021575928,-228.208084106,184.534301758,358.545684814,-303.857940674,274.381927490,
21,266.042144775,-228.225418091,184.502471924,358.539489746,-303.867828369,274.359680176,
22,266.033203125,-228.238967896,184.472930908,358.559692383,-303.875274658,274.335357666,
23,266.029907227,-228.250976563,184.443023682,358.552551270,-303.877471924,274.310668945,
24,266.004486084,-228.259567261,184.415252686,358.543701172,-303.883697510,274.291534424,
25,266.025848389,-228.274917603,184.388900757,358.522766113,-303.892425537,274.274658203,
26,266.038208008,-228.287643433,184.363357544,358.517211914,-303.895141602,274.251708984,
27,265.995727539,-228.299331665,184.333190918,358.530364990,-303.904724121,274.229888916,
28,266.003814697,-228.311614990,184.302947998,358.518218994,-303.911010742,274.207366943,
29,266.006896973,-228.330718994,184.272750854,358.490478516,-303.915649414,274.181945801,
30,266.009490967,-228.346466064,184.237152100,358.476806641,-303.922760010,274.156982422,
31,265.994232178,-228.366088867,184.203704834,358.475799561,-303.929809570,274.135864258,
32,265.964630127,-228.387878418,184.163818359,358.476806641,-303.940093994,274.109741211,
33,265.966705322,-228.413391113,184.130065918,358.441040039,-303.948364258,274.084167480,
34,265.949523926,-228.438140869,184.092712402,358.440612793,-303.955169678,274.064392090,
35,265.942199707,-228.465621948,184.048980713,358.421997070,-303.956878662,274.041717529,
36,265.931243896,-228.493743896,184.005920410,358.415954590,-303.964813232,274.017364502,
37,265.924591064,-228.527191162,183.964263916,358.389831543,-303.976898193,273.995910645,
38,265.890441895,-228.552185059,183.930923462,358.345825195,-303.982574463,273.974365234,
39,265.857299805,-228.581542969,183.896026611,358.354583740,-303.992492676,273.961242676,
40,265.859130859,-228.614425659,183.859893799,358.353149414,-304.007110596,273.943908691,
41,265.824981689,-228.643768311,183.826263428,358.321014404,-304.016754150,273.926269531,
42,265.794952393,-228.667373657,183.803344727,358.298522949,-304.020965576,273.912719727,
43,265.777221680,-228.691574097,183.784866333,358.282501221,-304.031066895,273.898162842,
44,265.761596680,-228.713424683,183.768905640,358.276306152,-304.041717529,273.886901855,
45,265.719329834,-228.729034424,183.758087158,358.258117676,-304.045410156,273.878479004,
46,265.676666260,-228.748229980,183.756530762,358.245605469,-304.051239014,273.873291016,
47,265.665313721,-228.761749268,183.759689331,358.235595703,-304.059722900,273.868804932,
48,265.640014648,-228.774215698,183.759201050,358.194702148,-304.066772461,273.864654541,
49,265.607116699,-228.781845093,183.763381958,358.192718506,-304.074645996,273.860382080,
50,265.589172363,-228.793594360,183.774169922,358.173522949,-304.080963135,273.858612061,
51,265.544158936,-228.798339844,183.785842896,358.155731201,-304.091705322,273.858001709,
52,265.524597168,-228.803359985,183.794189453,358.125762939,-304.102325439,273.856109619,
53,265.490509033,-228.804824829,183.803527832,358.091674805,-304.109130859,273.856445313,
54,265.450500488,-228.806747437,183.809341431,358.056060791,-304.121124268,273.853393555,
55,265.432128906,-228.807632446,183.814422607,358.031585693,-304.128509521,273.850555420,
56,265.377807617,-228.808502197,183.818191528,358.016296387,-304.143463135,273.848083496,
57,265.336364746,-228.806121826,183.816543579,357.970794678,-304.152832031,273.841949463,
58,265.302642822,-228.808120728,183.806015015,357.925018311,-304.166473389,273.831359863,
59,265.268646240,-228.806427002,183.796081543,357.875854492,-304.182373047,273.825317383,
60,265.212219238,-228.812789917,183.774414063,357.826202393,-304.200317383,273.815856934,
61,265.165374756,-228.811843872,183.745346069,357.791442871,-304.214996338,273.799346924,
62,265.125427246,-228.813888550,183.714157104,357.738372803,-304.227661133,273.784606934,
63,265.109375000,-228.822357178,183.671127319,357.675994873,-304.242645264,273.767333984,
64,265.054382324,-228.830276489,183.622222900,357.608459473,-304.257263184,273.739868164,
65,265.030212402,-228.840164185,183.574371338,357.554382324,-304.270446777,273.714569092,
66,264.969573975,-228.849563599,183.520324707,357.502807617,-304.282257080,273.686035156,
67,264.934906006,-228.864242554,183.460540771,357.455474854,-304.298248291,273.652343750,
68,264.885955811,-228.869445801,183.397918701,357.416168213,-304.312927246,273.616607666,
69,264.870697021,-228.874588013,183.327590942,357.360931396,-304.324676514,273.578979492,
70,264.806365967,-228.873413086,183.239837646,357.309082031,-304.329925537,273.534301758,
71,264.801666260,-228.858337402,183.139602661,357.252868652,-304.335601807,273.482574463,
72,264.781646729,-228.831253052,183.031555176,357.181976318,-304.337768555,273.426239014,
73,264.746795654,-228.795852661,182.907775879,357.120758057,-304.340576172,273.363647461,
74,264.743194580,-228.736709595,182.766036987,357.069122314,-304.337432861,273.292175293,
75,264.758453369,-228.665603638,182.598220825,357.000640869,-304.337066650,273.211822510,
76,264.791900635,-228.565826416,182.408935547,356.903472900,-304.328063965,273.128845215,
77,264.842193604,-228.440734863,182.195449829,356.800445557,-304.313171387,273.026733398,
78,264.867095947,-228.281936646,181.961975098,356.688507080,-304.299591064,272.916687012,
79,264.903747559,-228.083404541,181.702621460,356.564361572,-304.289031982,272.795928955,
80,265.013092041,-227.852279663,181.413345337,356.450897217,-304.272705078,272.652832031,
81,265.115478516,-227.580978394,181.096267700,356.313720703,-304.247436523,272.483764648,
82,265.199554443,-227.269638062,180.752120972,356.129241943,-304.219543457,272.296875000,
83,265.329162598,-226.925277710,180.372329712,355.935150146,-304.183746338,272.085693359,
84,265.460388184,-226.551071167,179.972518921,355.760192871,-304.140563965,271.846984863,
85,265.612640381,-226.133377075,179.537719727,355.556304932,-304.090606689,271.572784424,
86,265.779327393,-225.692276001,179.063430786,355.370697021,-304.044464111,271.264099121,
87,265.962005615,-225.215133667,178.556182861,355.174438477,-303.994720459,270.915374756,
88,266.145446777,-224.701614380,178.002548218,354.951599121,-303.941589355,270.529968262,
89,266.342651367,-224.158554077,177.394195557,354.726348877,-303.880889893,270.109375000,
90,266.537445068,-223.571792603,176.735473633,354.512359619,-303.812805176,269.647186279,
91,266.806121826,-222.956649780,176.009948730,354.284973145,-303.735656738,269.141387939,
92,267.054687500,-222.299133301,175.228088379,354.057281494,-303.650207520,268.595336914,
93,267.278472900,-221.608184814,174.381210327,353.850006104,-303.553833008,268.000000000,
94,267.538238525,-220.894958496,173.481369019,353.624053955,-303.452911377,267.356536865,
