Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
1,283.192352295,-225.973342896,130.318374634,360.979339600,-312.647033691,244.705627441,
2,283.189239502,-225.990692139,130.299697876,361.005920410,-312.658843994,244.694671631,
3,283.179534912,-226.004730225,130.285308838,360.973327637,-312.662231445,244.684265137,
4,283.184906006,-226.018768311,130.262039185,360.974243164,-312.663391113,244.673873901,
5,283.204864502,-226.031570435,130.240219116,360.974945068,-312.669433594,244.659774780,
6,283.201171875,-226.049026489,130.228668213,360.971405029,-312.673675537,244.646896362,
7,283.203430176,-226.062408447,130.212371826,360.981262207,-312.681335449,244.640167236,
8,283.215423584,-226.073577881,130.200073242,360.971374512,-312.685089111,244.632232666,
9,283.209899902,-226.085739136,130.187316895,360.989196777,-312.688964844,244.619567871,
10,283.200042725,-226.096267700,130.174652100,360.994171143,-312.697296143,244.606613159,
11,283.201416016,-226.102523804,130.161544800,361.001312256,-312.700683594,244.600540161,
12,283.201934814,-226.110671997,130.153121948,360.990844727,-312.707244873,244.593048096,
13,283.208984375,-226.120788574,130.146209717,360.980407715,-312.715148926,244.582763672,
14,283.225952148,-226.127517700,130.132354736,360.988281250,-312.720947266,244.573257446,
15,283.213714600,-226.139099121,130.125808716,360.974639893,-312.725067139,244.566772461,
16,283.213226318,-226.147933960,130.108581543,360.991241455,-312.731384277,244.557998657,
17,283.201416016,-226.159362793,130.099273682,360.974914551,-312.736877441,244.548660278,
18,283.205810547,-226.172210693,130.082229614,360.982513428,-312.742248535,244.540939331,
19,283.184509277,-226.185379028,130.071640015,360.986938477,-312.751647949,244.531021118,
20,283.204162598,-226.202163696,130.057922363,360.968017578,-312.759216309,244.523330688,
21,283.191864014,-226.223526001,130.040283203,360.941619873,-312.764434814,244.513412476,
22,283.208007813,-226.242446899,130.023666382,360.959228516,-312.773498535,244.506301880,
23,283.203247070,-226.257705688,130.005828857,360.968994141,-312.782409668,244.496139526,
24,283.188262939,-226.275405884,129.986129761,360.955474854,-312.788909912,244.486450195,
25,283.200378418,-226.291122437,129.965545654,360.932189941,-312.793853760,244.475311279,
26,283.180999756,-226.308380127,129.944229126,360.948516846,-312.801696777,244.464050293,
27,283.190734863,-226.329208374,129.926025391,360.949066162,-312.808105469,244.454849243,
28,283.192718506,-226.346496582,129.905807495,360.942443848,-312.816741943,244.444046021,
29,283.181091309,-226.364868164,129.884185791,360.936248779,-312.824371338,244.433349609,
30,283.185058594,-226.387100220,129.870910645,360.933441162,-312.831481934,244.424423218,
31,283.170867920,-226.408584595,129.855102539,360.929565430,-312.838531494,244.413146973,
32,283.163726807,-226.427566528,129.840652466,360.914581299,-312.843597412,244.405548096,
33,283.167358398,-226.452865601,129.823272705,360.916992188,-312.849578857,244.398788452,
