Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
1,236.105255127,-299.829193115,215.344863892,354.600372314,-310.724426270,295.213562012,
2,236.130310059,-299.599517822,214.967437744,354.581817627,-310.758026123,294.962585449,
3,236.185317993,-299.376342773,214.575759888,354.556427002,-310.789611816,294.709136963,
4,236.262329102,-299.158172607,214.177322388,354.517333984,-310.819458008,294.453735352,
5,236.309249878,-298.950653076,213.764266968,354.504821777,-310.849761963,294.192352295,
6,236.387664795,-298.746765137,213.336944580,354.491943359,-310.879425049,293.928649902,
7,236.466506958,-298.546722412,212.897598267,354.473297119,-310.908477783,293.662109375,
8,236.571304321,-298.357696533,212.444610596,354.442016602,-310.937225342,293.392974854,
9,236.655563354,-298.170318604,211.982254028,354.435058594,-310.967864990,293.122741699,
10,236.765609741,-297.980102539,211.495452881,354.435028076,-311.001739502,292.843566895,
11,236.890884399,-297.793853760,210.997344971,354.413452148,-311.032043457,292.563812256,
12,236.994720459,-297.607421875,210.483627319,354.405151367,-311.067108154,292.280059814,
13,237.116851807,-297.419769287,209.960723877,354.381103516,-311.101470947,291.994537354,
14,237.268692017,-297.229858398,209.430282593,354.353942871,-311.135955811,291.704925537,
15,237.420532227,-297.033874512,208.877700806,354.357147217,-311.172424316,291.418273926,
16,237.554687500,-296.836456299,208.319488525,354.341491699,-311.214324951,291.125640869,
17,237.711227417,-296.638824463,207.749908447,354.324584961,-311.251098633,290.835754395,
18,237.897781372,-296.450714111,207.172698975,354.316772461,-311.285034180,290.541625977,
19,238.060409546,-296.263580322,206.592193604,354.320037842,-311.324218750,290.246215820,
20,238.237426758,-296.079711914,206.013839722,354.314147949,-311.363555908,289.954925537,
21,238.438308716,-295.905395508,205.434219360,354.299102783,-311.402465820,289.663909912,
22,238.620910645,-295.734771729,204.857162476,354.303833008,-311.440429688,289.370452881,
23,238.811141968,-295.570434570,204.288681030,354.304382324,-311.476867676,289.080230713,
24,238.984725952,-295.410369873,203.732055664,354.283905029,-311.513580322,288.792449951,
25,239.176528931,-295.244628906,203.179763794,354.300933838,-311.546936035,288.510894775,
