Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
1,272.318847656,-221.093765259,177.647430420,366.427551270,-304.743225098,274.941955566,
2,272.341064453,-221.138000488,177.565872192,366.449737549,-304.764892578,274.885803223,
3,272.326538086,-221.183059692,177.485031128,366.425506592,-304.784423828,274.825775146,
4,272.317657471,-221.228576660,177.402694702,366.420013428,-304.807434082,274.771789551,
5,272.315093994,-221.274673462,177.322662354,366.421142578,-304.830810547,274.710845947,
6,272.306976318,-221.322448730,177.234863281,366.406890869,-304.850341797,274.650695801,
7,272.315704346,-221.372039795,177.147644043,366.393402100,-304.869384766,274.594604492,
8,272.323242188,-221.423309326,177.059387207,366.394012451,-304.893463135,274.536560059,
9,272.322967529,-221.475982666,176.966476440,366.370971680,-304.915740967,274.475524902,
10,272.317535400,-221.533081055,176.873840332,366.357360840,-304.940063477,274.411041260,
11,272.286376953,-221.587356567,176.788101196,366.334533691,-304.963897705,274.353851318,
12,272.272216797,-221.644927979,176.699111938,366.311218262,-304.990447998,274.292114258,
13,272.261779785,-221.701339722,176.609634399,366.298065186,-305.020202637,274.229522705,
14,272.244018555,-221.761001587,176.515106201,366.274688721,-305.051788330,274.165008545,
15,272.209655762,-221.827163696,176.417083740,366.224853516,-305.079925537,274.104705811,
16,272.170013428,-221.894821167,176.319427490,366.223999023,-305.113159180,274.044158936,
17,272.126586914,-221.964141846,176.211929321,366.205230713,-305.145843506,273.978149414,
18,272.105865479,-222.039703369,176.114242554,366.163940430,-305.180786133,273.912231445,
19,272.089172363,-222.117675781,176.011856079,366.122558594,-305.216125488,273.849670410,
20,272.057586670,-222.198028564,175.905685425,366.117706299,-305.259277344,273.785705566,
21,272.020446777,-222.284835815,175.798187256,366.062438965,-305.297576904,273.720031738,
22,271.965118408,-222.377593994,175.684997559,366.013519287,-305.339538574,273.654815674,
23,271.899017334,-222.475357056,175.577468872,365.958526611,-305.382720947,273.589721680,
24,271.818969727,-222.577957153,175.468444824,365.916107178,-305.428253174,273.525787354,
25,271.735778809,-222.685058594,175.358993530,365.876739502,-305.475250244,273.462860107,
26,271.665618896,-222.799865723,175.244369507,365.796752930,-305.525054932,273.399719238,
27,271.575378418,-222.919189453,175.128662109,365.727844238,-305.577148438,273.332977295,
28,271.550018311,-223.037872314,175.009490967,365.646667480,-305.628967285,273.266448975,
29,271.444335938,-223.157241821,174.894882202,365.559570313,-305.685821533,273.203155518,
30,271.356567383,-223.279266357,174.776565552,365.489593506,-305.743499756,273.137420654,
31,271.270751953,-223.402160645,174.650527954,365.392395020,-305.799407959,273.071136475,
32,271.144653320,-223.529922485,174.530654907,365.315704346,-305.862884521,273.006713867,
33,271.045776367,-223.654266357,174.403488159,365.235534668,-305.922576904,272.939270020,
34,270.965789795,-223.783660889,174.272155762,365.152221680,-305.981384277,272.868774414,
35,270.887908936,-223.916030884,174.129089355,365.052703857,-306.042053223,272.799896240,
36,270.770599365,-224.050186157,173.999679565,364.966125488,-306.102142334,272.732269287,
37,270.684600830,-224.175842285,173.858337402,364.872680664,-306.163238525,272.662353516,
38,270.589294434,-224.305419922,173.711547852,364.770141602,-306.223754883,272.591339111,
39,270.479614258,-224.428634644,173.568023682,364.688140869,-306.292572021,272.519317627,
40,270.388183594,-224.552459717,173.418640137,364.579986572,-306.359130859,272.441467285,
41,270.311309814,-224.673812866,173.268234253,364.466217041,-306.427551270,272.359436035,
42,270.204528809,-224.795257568,173.117843628,364.345001221,-306.491851807,272.272430420,
43,270.110290527,-224.919662476,172.958709717,364.212982178,-306.556365967,272.186614990,
44,269.997436523,-225.036315918,172.806243896,364.098999023,-306.627319336,272.099304199,
45,269.891540527,-225.156387329,172.643402100,363.998840332,-306.699279785,272.006652832,
46,269.789337158,-225.268417358,172.474639893,363.886932373,-306.770294189,271.909362793,
47,269.681274414,-225.389099121,172.308822632,363.737243652,-306.841857910,271.809234619,
