Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
26,254.418609619,-262.213989258,205.691116333,362.879364014,-311.091735840,283.197357178,
27,254.383483887,-262.258209229,205.636032104,362.861755371,-311.113006592,283.152893066,
28,254.357727051,-262.302642822,205.581787109,362.857635498,-311.137847900,283.104339600,
29,254.291748047,-262.342834473,205.526412964,362.813720703,-311.159912109,283.061828613,
30,254.283248901,-262.390228271,205.466598511,362.776062012,-311.184570313,283.016998291,
31,254.250152588,-262.427124023,205.414398193,362.737609863,-311.208770752,282.969238281,
32,254.201110840,-262.470886230,205.362274170,362.725433350,-311.232727051,282.923370361,
33,254.165512085,-262.513946533,205.309204102,362.700195313,-311.257415771,282.877441406,
34,254.101119995,-262.554504395,205.247497559,362.647186279,-311.284179688,282.833404541,
35,254.072463989,-262.595367432,205.185867310,362.623840332,-311.309326172,282.788940430,
36,254.051223755,-262.635375977,205.125640869,362.598663330,-311.332824707,282.742614746,
37,254.021469116,-262.672668457,205.064834595,362.559722900,-311.362060547,282.693542480,
38,254.000518799,-262.709197998,204.991104126,362.530914307,-311.389434814,282.647888184,
39,253.961990356,-262.742279053,204.922561646,362.494476318,-311.416656494,282.596710205,
40,253.936462402,-262.769104004,204.844787598,362.438201904,-311.440826416,282.551574707,
41,253.924560547,-262.789672852,204.756057739,362.392028809,-311.468566895,282.501953125,
42,253.903579712,-262.803314209,204.654998779,362.346343994,-311.498199463,282.452575684,
43,253.910263062,-262.804046631,204.546096802,362.301666260,-311.528015137,282.408691406,
44,253.904281616,-262.776092529,204.412445068,362.240509033,-311.555114746,282.365692139,
45,253.895828247,-262.733459473,204.255187988,362.169647217,-311.580993652,282.312530518,
46,253.907485962,-262.659851074,204.072647095,362.087738037,-311.607086182,282.257293701,
47,253.904602051,-262.560363770,203.881805420,361.982055664,-311.630523682,282.195861816,
48,253.937683105,-262.426055908,203.675033569,361.900634766,-311.656463623,282.126922607,
49,253.991210938,-262.263366699,203.446075439,361.797943115,-311.688903809,282.047668457,
50,254.037628174,-262.062713623,203.202087402,361.676147461,-311.719665527,281.957275391,
51,254.047805786,-261.822235107,202.954925537,361.556701660,-311.750183105,281.850982666,
52,254.117553711,-261.549011230,202.683883667,361.442443848,-311.784088135,281.735107422,
53,254.176437378,-261.235260010,202.398361206,361.316406250,-311.816925049,281.603454590,
54,254.241378784,-260.886718750,202.105865479,361.190887451,-311.848205566,281.462951660,
55,254.361312866,-260.506256104,201.797241211,361.069274902,-311.881103516,281.306976318,
56,254.419433594,-260.094177246,201.484741211,360.950134277,-311.911682129,281.137878418,
57,254.545013428,-259.652191162,201.166473389,360.815277100,-311.941497803,280.958679199,
58,254.639022827,-259.188476563,200.837234497,360.678405762,-311.963623047,280.769287109,
59,254.747772217,-258.698852539,200.499114990,360.518737793,-311.977722168,280.571929932,
60,254.866088867,-258.174621582,200.154083252,360.388824463,-311.989501953,280.363830566,
61,254.999618530,-257.618225098,199.788513184,360.260559082,-311.992584229,280.148498535,
62,255.148300171,-257.025634766,199.407424927,360.111511230,-311.989990234,279.921447754,
63,255.328201294,-256.383880615,198.997268677,359.947265625,-311.981140137,279.676727295,
64,255.552322388,-255.691436768,198.557998657,359.788513184,-311.971099854,279.415954590,
65,255.741470337,-254.928314209,198.090698242,359.622985840,-311.959991455,279.144989014,
66,255.978637695,-254.099456787,197.589660645,359.414276123,-311.940093994,278.850372314,
67,256.204315186,-253.200698853,197.064102173,359.209259033,-311.919433594,278.539215088,
68,256.460174561,-252.230834961,196.500930786,358.996520996,-311.898040771,278.209320068,
69,256.758331299,-251.201721191,195.911041260,358.751922607,-311.873016357,277.857116699,
70,257.077484131,-250.147033691,195.306625366,358.497558594,-311.839294434,277.481079102,
71,257.418762207,-249.027481079,194.653427124,358.242034912,-311.799621582,277.089599609,
72,257.787963867,-247.845458984,193.966461182,357.956298828,-311.755065918,276.673156738,
73,258.210327148,-246.618560791,193.243850708,357.663055420,-311.702056885,276.232543945,
74,258.636932373,-245.353057861,192.488235474,357.353363037,-311.640655518,275.771148682,
75,259.143737793,-244.051589966,191.700317383,357.024200439,-311.568572998,275.289306641,
76,259.652862549,-242.729232788,190.872634888,356.691650391,-311.497680664,274.777008057,
77,260.175079346,-241.388229370,190.019622803,356.351715088,-311.426757813,274.249725342,
78,260.750701904,-240.046905518,189.114013672,355.974853516,-311.345764160,273.700744629,
79,261.405456543,-238.690170288,188.154220581,355.614105225,-311.262451172,273.137023926,
80,262.090545654,-237.313629150,187.121765137,355.245697021,-311.159118652,272.555389404,
81,262.803802490,-235.928054810,186.042617798,354.864410400,-311.031707764,271.957275391,
82,263.577545166,-234.581558228,184.915664673,354.486999512,-310.887268066,271.339141846,
83,264.313507080,-233.256454468,183.744934082,354.107086182,-310.721832275,270.700073242,
84,265.137298584,-231.949142456,182.517990112,353.752105713,-310.529388428,270.047210693,
85,265.965576172,-230.642028809,181.243286133,353.409637451,-310.327758789,269.377716064,
86,266.789764404,-229.343292236,179.933822632,353.053924561,-310.103576660,268.676666260,
87,267.588623047,-228.050689697,178.559616089,352.661254883,-309.849243164,267.946899414,
88,268.391967773,-226.765121460,177.134109497,352.267486572,-309.578063965,267.176147461,
89,269.161315918,-225.494277954,175.661727905,351.872802734,-309.279235840,266.364349365,
90,269.915130615,-224.240921021,174.126937866,351.474456787,-308.959259033,265.514831543,
91,270.684326172,-223.014694214,172.542434692,351.038482666,-308.633331299,264.615295410,
92,271.386840820,-221.818557739,170.900115967,350.579925537,-308.285156250,263.662597656,
93,272.108795166,-220.666641235,169.188003540,350.135223389,-307.904235840,262.663848877,
94,272.816986084,-219.540100098,167.408554077,349.630981445,-307.503814697,261.618743896,
95,273.533996582,-218.455123901,165.571182251,349.162689209,-307.081207275,260.512725830,
96,274.197418213,-217.393447876,163.688339233,348.649902344,-306.633728027,259.354766846,
97,274.816955566,-216.354400635,161.753143311,348.162292480,-306.154907227,258.142303467,
98,275.396057129,-215.334014893,159.776489258,347.647644043,-305.638336182,256.877502441,
99,275.937774658,-214.326126099,157.777374268,347.141265869,-305.096679688,255.550781250,
100,276.383483887,-213.331436157,155.747360229,346.625457764,-304.530395508,254.171936035,
101,276.761535645,-212.335693359,153.706207275,346.110260010,-303.935180664,252.749893188,
102,277.088806152,-211.335998535,151.653869629,345.593414307,-303.316864014,251.276382446,
103,277.322875977,-210.339523315,149.591567993,345.115753174,-302.676513672,249.757858276,
104,277.539062500,-209.350936890,147.534713745,344.686370850,-302.013885498,248.204376221,
105,277.669464111,-208.375534058,145.475296021,344.209259033,-301.323822021,246.607742310,
106,277.765594482,-207.404525757,143.401351929,343.729248047,-300.617950439,244.977340698,
107,277.825927734,-206.420989990,141.313125610,343.257324219,-299.892059326,243.313217163,
108,277.849639893,-205.419036865,139.196456909,342.781097412,-299.147430420,241.601058960,
109,277.820312500,-204.408691406,137.056884766,342.287506104,-298.389068604,239.858276367,
110,277.720825195,-203.399276733,134.871673584,341.787963867,-297.621154785,238.077941895,
111,277.614288330,-202.389602661,132.638656616,341.249969482,-296.841186523,236.265731812,
112,277.476074219,-201.377639771,130.363800049,340.709930420,-296.048400879,234.424713135,
113,277.298126221,-200.364318848,128.037658691,340.154205322,-295.243225098,232.548812866,
114,277.153442383,-199.359756470,125.657546997,339.580596924,-294.434906006,230.647155762,
115,276.976013184,-198.369903564,123.243255615,339.006683350,-293.632019043,228.716766357,
116,276.812469482,-197.401931763,120.798255920,338.421386719,-292.827209473,226.754119873,
117,276.655883789,-196.448257446,118.320869446,337.800292969,-292.021484375,224.765304565,
118,276.490081787,-195.514282227,115.831680298,337.178436279,-291.218780518,222.752807617,
119,276.350189209,-194.593322754,113.326957703,336.585998535,-290.421112061,220.725112915,
