Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
1,282.044158936,-247.896484375,184.799606323,382.322998047,-302.334197998,282.052429199,
2,282.030517578,-247.914779663,184.659866333,382.276824951,-302.365661621,281.956024170,
3,282.053863525,-247.935440063,184.513366699,382.259552002,-302.399566650,281.862670898,
4,282.045318604,-247.949203491,184.365402222,382.232452393,-302.434356689,281.764068604,
5,282.057434082,-247.966323853,184.213058472,382.179534912,-302.466552734,281.664306641,
6,282.062774658,-247.983169556,184.054458618,382.141052246,-302.499847412,281.557983398,
7,282.043548584,-247.999847412,183.904190063,382.092224121,-302.539276123,281.455291748,
8,282.066986084,-248.020996094,183.737792969,382.052001953,-302.573181152,281.345336914,
9,282.037048340,-248.039215088,183.582885742,381.999755859,-302.607574463,281.230621338,
10,282.031311035,-248.062911987,183.416259766,381.950225830,-302.645812988,281.114654541,
11,282.039855957,-248.083572388,183.243911743,381.890594482,-302.686462402,280.992828369,
12,282.021697998,-248.105987549,183.076049805,381.836456299,-302.730285645,280.867858887,
13,281.996978760,-248.134796143,182.902160645,381.787109375,-302.776733398,280.741271973,
14,281.948913574,-248.158630371,182.720809937,381.716400146,-302.817535400,280.610504150,
15,281.931365967,-248.185409546,182.535476685,381.657409668,-302.863250732,280.475036621,
16,281.895355225,-248.209442139,182.344482422,381.575866699,-302.912231445,280.335876465,
17,281.876647949,-248.237762451,182.144897461,381.494415283,-302.961425781,280.193817139,
18,281.858306885,-248.263748169,181.930877686,381.425262451,-303.013183594,280.050476074,
19,281.821685791,-248.284667969,181.709548950,381.326599121,-303.068237305,279.896942139,
20,281.807739258,-248.303085327,181.480667114,381.236419678,-303.124603271,279.740814209,
21,281.757812500,-248.307830811,181.244308472,381.122894287,-303.184722900,279.584259033,
22,281.723388672,-248.304611206,180.989852905,381.017242432,-303.249053955,279.419921875,
23,281.698425293,-248.292297363,180.723403931,380.873626709,-303.314208984,279.245391846,
24,281.666656494,-248.255569458,180.441711426,380.715850830,-303.378112793,279.069915771,
25,281.653930664,-248.210052490,180.147186279,380.597167969,-303.446289063,278.884765625,
26,281.632843018,-248.143936157,179.828292847,380.439910889,-303.517181396,278.694305420,
27,281.635864258,-248.064926147,179.495498657,380.284149170,-303.584136963,278.497009277,
28,281.641571045,-247.971542358,179.148010254,380.121124268,-303.652130127,278.290100098,
29,281.652984619,-247.860763550,178.783752441,379.933013916,-303.722961426,278.076324463,
30,281.643463135,-247.735946655,178.410003662,379.757354736,-303.790893555,277.859283447,
31,281.661285400,-247.597274780,178.015411377,379.567413330,-303.861297607,277.633697510,
32,281.677307129,-247.439392090,177.617630005,379.362091064,-303.932281494,277.413879395,
33,281.680358887,-247.268737793,177.204605103,379.143737793,-304.005340576,277.183166504,
34,281.707427979,-247.086151123,176.775650024,378.933929443,-304.074066162,276.952270508,
35,281.724548340,-246.895263672,176.337478638,378.730834961,-304.148010254,276.722717285,
36,281.724639893,-246.698593140,175.900634766,378.523040771,-304.219146729,276.493103027,
37,281.714782715,-246.494842529,175.473968506,378.298614502,-304.284057617,276.258819580,
38,281.735931396,-246.289962769,175.049575806,378.068542480,-304.352874756,276.025299072,
39,281.727142334,-246.083160400,174.634948730,377.851226807,-304.425781250,275.795867920,
40,281.712768555,-245.870910645,174.223937988,377.628448486,-304.497467041,275.566711426,
41,281.687347412,-245.647293091,173.824050903,377.376373291,-304.573699951,275.337738037,
42,281.663391113,-245.405456543,173.434448242,377.134124756,-304.649291992,275.110748291,
43,281.618713379,-245.153381348,173.053558350,376.899932861,-304.721343994,274.886901855,
44,281.545318604,-244.868347168,172.669036865,376.661193848,-304.796356201,274.674255371,
45,281.506469727,-244.559921265,172.281005859,376.397735596,-304.862884521,274.466308594,
46,281.440460205,-244.218032837,171.892700195,376.131408691,-304.926239014,274.257171631,
47,281.363983154,-243.837387085,171.495605469,375.845306396,-304.988372803,274.057830811,
48,281.310516357,-243.404891968,171.084014893,375.530426025,-305.051177979,273.860626221,
49,281.263580322,-242.912445068,170.647796631,375.194976807,-305.107177734,273.658508301,
50,281.241241455,-242.362548828,170.175399780,374.854949951,-305.166412354,273.456848145,
51,281.261596680,-241.743209839,169.670608521,374.485626221,-305.224060059,273.252899170,
52,281.307159424,-241.067306519,169.113357544,374.108306885,-305.271087646,273.040924072,
53,281.361968994,-240.346588135,168.522262573,373.691802979,-305.308471680,272.824829102,
54,281.413208008,-239.607604980,167.914566040,373.264099121,-305.339385986,272.601715088,
55,281.459625244,-238.840621948,167.302154541,372.811065674,-305.364990234,272.371917725,
56,281.495574951,-238.036743164,166.672378540,372.339141846,-305.394531250,272.128417969,
