,time,x
75,0.3,-19.635681153000007
76,0.304,-19.760314942000008
77,0.308,-19.862991333999986
78,0.312,-19.944000244999984
79,0.316,-19.977844239000007
80,0.32,-19.976150512999993
81,0.324,-19.957855225000003
82,0.328,-19.901168823999996
83,0.332,-19.851272583999986
84,0.336,-19.75920105
85,0.34,-19.65803527899999
86,0.344,-19.595672608
87,0.348,-19.61347961499999
88,0.352,-19.65357971199998
89,0.356,-19.678482056000007
90,0.36,-19.655670166999982
91,0.364,-19.67311096199998
92,0.368,-19.674102783999984
93,0.372,-19.70918273999999
94,0.376,-19.733886718999997
95,0.38,-19.778411866
96,0.384,-19.854904175
97,0.388,-19.926177978999988
98,0.392,-20.01437378
99,0.396,-20.11860656799999
100,0.4,-20.22387695399999
101,0.404,-20.32490539599999
102,0.408,-20.438781739000007
103,0.412,-20.512420655
104,0.416,-20.58396911699998
105,0.42,-20.636444092000005
106,0.424,-20.670059205
107,0.428,-20.69921875
108,0.432,-20.701583862999996
109,0.436,-20.688507080999983
110,0.44,-20.669311523999994
111,0.444,-20.620574952
112,0.448,-20.54512023999999
113,0.452,-20.48562622099999
114,0.456,-20.387908936000002
115,0.46,-20.25549316499999
116,0.464,-20.147048950999988
117,0.468,-20.035552978999988
118,0.472,-19.923995972
119,0.476,-19.836761475000003
120,0.48,-19.769958497000005
121,0.484,-19.709793090999995
122,0.488,-19.68695068399998
123,0.492,-19.652465820999993
124,0.496,-19.667297364000007
125,0.5,-19.666015625
126,0.504,-19.663909912999998
127,0.508,-19.65766906799999
128,0.512,-19.645294189999987
129,0.516,-19.655197144
130,0.52,-19.654846192000008
131,0.524,-19.667938233
132,0.528,-19.670364379999995
133,0.532,-19.658279418999996
134,0.536,-19.637420655
135,0.54,-19.651779175
136,0.544,-19.648681640999996
137,0.548,-19.65589904799998
138,0.552,-19.647964478000006
139,0.556,-19.64402770999999
140,0.56,-19.638076783000002
141,0.564,-19.610855103000006
142,0.568,-19.555847167999985
143,0.572,-19.462570190999998
144,0.576,-19.38049316499999
145,0.58,-19.29258728099998
146,0.584,-19.199783325999988
147,0.588,-19.073028564999987
148,0.592,-18.94387817399999
149,0.596,-18.823699952
150,0.6,-18.702041625999982
151,0.604,-18.549118042000003
152,0.608,-18.438537597999982
153,0.612,-18.335464478000006
154,0.616,-18.255584717000005
155,0.62,-18.181900025000004
156,0.624,-18.13101196299999
157,0.628,-18.092956542999985
158,0.632,-18.068725586
159,0.636,-18.072708129999995
160,0.64,-18.066970825999988
161,0.644,-18.074310303000004
162,0.648,-18.063491822000003
163,0.652,-18.082260131999988
164,0.656,-18.112457275999986
165,0.66,-18.11486816499999
166,0.664,-18.103622436999984
167,0.668,-18.114929200000006
168,0.672,-18.129409791
169,0.676,-18.137496948999996
170,0.68,-18.131820678999986
171,0.684,-18.128997803000004
172,0.688,-18.134277343999997
173,0.692,-18.136993408999984
174,0.696,-18.125595092999987
175,0.7,-18.108139039000008
176,0.704,-18.097915650000004
177,0.708,-18.073196411999987
178,0.712,-18.054290772
179,0.716,-18.02114868199999
180,0.72,-17.990478515999996
181,0.724,-17.961486817000008
182,0.728,-17.926071167000003
183,0.732,-17.903182983999983
184,0.736,-17.893447875999982
185,0.74,-17.87605285699999
186,0.744,-17.855850220000008
187,0.748,-17.808853150000004
188,0.752,-17.806701661000005
189,0.756,-17.781311035999977
190,0.76,-17.745849609999993
191,0.764,-17.72265625
192,0.768,-17.694702149000022
193,0.772,-17.666503906999992
194,0.776,-17.633575440000016
195,0.78,-17.59655761800002
196,0.784,-17.571441650999986
197,0.788,-17.540954590000013
198,0.792,-17.489410400999986
199,0.796,-17.46148681699998
200,0.8,-17.43801879900002
201,0.804,-17.410583497000005
202,0.808,-17.38885498100001
203,0.812,-17.37057495199997
204,0.816,-17.376495362000014
205,0.82,-17.355865478999988
206,0.824,-17.361236572999985
207,0.828,-17.36773681699998
208,0.832,-17.352935791999982
209,0.836,-17.366302491
210,0.84,-17.370269775999986
211,0.844,-17.36593627999997
212,0.848,-17.366912841999977
213,0.852,-17.388671875
214,0.856,-17.39245605499997
215,0.86,-17.37927246099997
216,0.864,-17.378753662999998
217,0.868,-17.401733399000022
218,0.872,-17.389862060999974
219,0.876,-17.412567138999975
220,0.88,-17.41125488299997
221,0.884,-17.421783447999985
222,0.888,-17.42785644600002
223,0.892,-17.41809082100002
224,0.896,-17.415771484999993
225,0.9,-17.442199707999976
226,0.904,-17.449523925999983
227,0.908,-17.43624877999997
228,0.912,-17.443084716999977
229,0.916,-17.451934815000016
230,0.92,-17.44512939499998
231,0.924,-17.46163940499997
232,0.928,-17.47192382899999
233,0.932,-17.46450805699999
234,0.936,-17.459411622000005
235,0.94,-17.48083496099997
236,0.944,-17.486724853999988
237,0.948,-17.514160156999992
238,0.952,-17.523529053000004
239,0.956,-17.54187011800002
240,0.96,-17.57604980499997
241,0.964,-17.58560180699999
242,0.968,-17.617980957999976
243,0.972,-17.639739991
244,0.976,-17.661437988999978
245,0.98,-17.68460083100001
246,0.984,-17.686126709000007
247,0.988,-17.69158935600001
248,0.992,-17.70846557699997
249,0.996,-17.736267090000013
250,1.0,-17.739013672
251,1.004,-17.75637817400002
252,1.008,-17.76794433599997
253,1.012,-17.782501221000018
254,1.016,-17.818298339999984
255,1.02,-17.82044983
256,1.024,-17.843673706999994
257,1.028,-17.869033814000005
258,1.032,-17.916427612999996
259,1.036,-17.945892334000007
260,1.04,-17.975646972999982
261,1.044,-18.018127442000008
262,1.048,-18.059616089000002
263,1.052,-18.085098267000006
264,1.056,-18.137130737999996
265,1.06,-18.170700073999996
266,1.064,-18.187545776999997
267,1.068,-18.22480773999999
